dataset,contrast,seed,gamma,n_cal_59_80,n_target_59_80,censoring_model_59_80,L_dir_59_80,U_dir_59_80,L_sep_59_80,U_sep_59_80,W_dir_59_80,W_sep_59_80,ID_width_ratio_59_80,dir_pointwise_lower_59_80,dir_pointwise_upper_59_80,sep_pointwise_lower_59_80,sep_pointwise_upper_59_80,dir_sim_lower_59_80,dir_sim_upper_59_80,sep_sim_lower_59_80,sep_sim_upper_59_80,BandWidth_dir_59_80,BandWidth_sep_59_80,band_ratio_59_80,action_dir_59_80,action_sep_59_80,direct_sim_critical_59_80,separate_sim_critical_59_80,bootstrap_requested_59_80,bootstrap_valid_59_80,n_cal_60_80,n_target_60_80,censoring_model_60_80,L_dir_60_80,U_dir_60_80,L_sep_60_80,U_sep_60_80,W_dir_60_80,W_sep_60_80,ID_width_ratio_60_80,dir_pointwise_lower_60_80,dir_pointwise_upper_60_80,sep_pointwise_lower_60_80,sep_pointwise_upper_60_80,dir_sim_lower_60_80,dir_sim_upper_60_80,sep_sim_lower_60_80,sep_sim_upper_60_80,BandWidth_dir_60_80,BandWidth_sep_60_80,band_ratio_60_80,action_dir_60_80,action_sep_60_80,direct_sim_critical_60_80,separate_sim_critical_60_80,bootstrap_requested_60_80,bootstrap_valid_60_80,direct_action_changed,separate_action_changed
NSCLC-VA,InductiveSparsePCA,62,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0113010436283073,-0.0113010436283073,-0.0113010436283073,-0.0113010436283073,0.0,0.0,inf,-0.0373564487220825,0.0147543614654677,-0.0373564487220825,0.0147543614654677,-0.0442340885228846,0.0216320012662699,-0.0462475431494789,0.0236454558928642,0.0658660897891546,0.0698929990423432,1.06113782169367,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0113010436283073,-0.0113010436283073,-0.0113010436283073,-0.0113010436283073,0.0,0.0,inf,-0.0373564487220825,0.0147543614654677,-0.0373564487220825,0.0147543614654677,-0.0442340885228847,0.0216320012662699,-0.046247543149479,0.0236454558928642,0.0658660897891546,0.0698929990423432,1.0611378216936702,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999,False,False
NSCLC-VA,InductiveSparsePCA,62,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0134958249529133,-0.0090384929852526,-0.0228325813254672,0.0002982633873012,0.0044573319676606,0.0231308447127684,5.189392416941321,-0.0392722779378086,0.0173063070845554,-0.0474872690424473,0.0293083802867346,-0.0460762849503411,0.0242603361949136,-0.0559003854680296,0.0392077346730648,0.0703366211452547,0.0951081201410944,1.3521849442367042,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0134958249529133,-0.0090384929852526,-0.0228325813254672,0.0002982633873011,0.0044573319676606,0.0231308447127684,5.189392416941315,-0.0392722779378086,0.0173063070845554,-0.0474872690424473,0.0293083802867346,-0.0460762849503411,0.0242603361949136,-0.0559003854680296,0.0392077346730648,0.0703366211452547,0.0951081201410944,1.3521849442367042,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999,False,False
NSCLC-VA,InductiveSparsePCA,62,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0156213496545944,-0.0067099210932433,-0.034325859458689,0.0119945887108511,0.008911428561351,0.0463204481695402,5.197870111469249,-0.04112847374031,0.0199353818731175,-0.0593732035348884,0.0451119636784497,-0.0478613881273455,0.0269687323632105,-0.0679203092327453,0.0564128706098394,0.074830120490556,0.1243331798425848,1.6615392174635923,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0156213496545944,-0.0067099210932434,-0.034325859458689,0.0119945887108512,0.008911428561351,0.0463204481695403,5.197870111469258,-0.04112847374031,0.0199353818731175,-0.0593732035348884,0.0451119636784497,-0.0478613881273455,0.0269687323632105,-0.0679203092327454,0.0564128706098395,0.0748301204905561,0.1243331798425849,1.6615392174635932,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999,False,False
NSCLC-VA,InductiveSparsePCA,62,0.3,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0176763959582361,-0.0043173306880737,-0.0458101075532446,0.0238163809069346,0.0133590652701623,0.0696264884601792,5.211928159052469,-0.042922889722967,0.0226400406526264,-0.0729393332083414,0.0618272887482487,-0.0495870075795916,0.0297557653704162,-0.0821968560207286,0.0747980550699332,0.0793427729500078,0.1569949110906618,1.978692012561508,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0176763959582361,-0.0043173306880737,-0.0458101075532446,0.0238163809069346,0.0133590652701624,0.0696264884601793,5.211928159052473,-0.042922889722967,0.0226400406526264,-0.0729393332083414,0.0618272887482487,-0.0495870075795916,0.0297557653704162,-0.0821968560207286,0.0747980550699332,0.0793427729500078,0.1569949110906619,1.9786920125615088,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999,False,False
NSCLC-VA,InductiveSparsePCA,62,0.5,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0215715041626665,0.0006506553910875,-0.0688637994258254,0.0479429506542465,0.022222159553754,0.1168067500800719,5.256318576847742,-0.0463188763804698,0.028267325246232,-0.1036942992669826,0.0971261175303552,-0.0528512450585946,0.0355570797934269,-0.1155797895108142,0.1139092832251519,0.0884083248520215,0.2294890727359662,2.595785782844393,DEFER,DEFER,2.477320220595346,2.6287781825202274,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0215715041626665,0.0006506553910875,-0.0688637994258255,0.0479429506542465,0.022222159553754,0.116806750080072,5.256318576847744,-0.0463188763804698,0.0282673252462319,-0.1036942992669827,0.0971261175303552,-0.0528512450585946,0.0355570797934269,-0.1155797895108143,0.1139092832251519,0.0884083248520215,0.2294890727359662,2.595785782844393,DEFER,DEFER,2.477320220595347,2.6287781825202288,999,999,False,False
NSCLC-VA,InductiveSparsePCA,52,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0248509963556484,0.0248509963556484,0.0248509963556484,0.0248509963556484,0.0,0.0,inf,-0.0098598610576876,0.0595618537689845,-0.0098598610576877,0.0595618537689845,-0.0159959395573165,0.0656979322686134,-0.0216819619292358,0.0713839546405326,0.0816938718259299,0.0930659165697684,1.139203155508036,DEFER,DEFER,2.306440383044761,2.6275041623557565,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0248509963556484,0.0248509963556484,0.0248509963556485,0.0248509963556485,0.0,0.0,inf,-0.0098598610576876,0.0595618537689846,-0.0098598610576875,0.0595618537689846,-0.0159959395573165,0.0656979322686135,-0.0216819619292355,0.0713839546405326,0.08169387182593,0.0930659165697682,1.139203155508033,DEFER,DEFER,2.3064403830447637,2.627504162355752,999,999,False,False
NSCLC-VA,InductiveSparsePCA,52,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0217604755022791,0.0279994398544199,0.000481371569079,0.0492785437876199,0.0062389643521408,0.0487971722185408,7.821357754960852,-0.012699423066722,0.062928555006149,-0.0316552344172646,0.087731485931228,-0.0187911378345456,0.0691032164367606,-0.042600576190752,0.1008280958886323,0.0878943542713062,0.1434286720793844,1.6318303179821834,DEFER,DEFER,2.306440383044761,2.6275041623557565,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0217604755022791,0.0279994398544199,0.0004813715690791,0.0492785437876199,0.0062389643521408,0.0487971722185408,7.821357754960852,-0.0126994230667219,0.062928555006149,-0.0316552344172645,0.087731485931228,-0.0187911378345456,0.0691032164367607,-0.0426005761907519,0.1008280958886322,0.0878943542713063,0.1434286720793841,1.6318303179821798,DEFER,DEFER,2.3064403830447637,2.627504162355752,999,999,False,False
NSCLC-VA,InductiveSparsePCA,52,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0187345269403972,0.0311982239725151,-0.0237842107788244,0.0737169616917368,0.0124636970321179,0.0975011724705612,7.822813104274622,-0.015445834355322,0.0663087660463035,-0.0548379892499483,0.1167046909881752,-0.0214881333846634,0.0725154995695876,-0.0654145329854334,0.1313457949496707,0.094003632954251,0.1967603279351042,2.093114082419156,DEFER,DEFER,2.306440383044761,2.6275041623557565,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0187345269403972,0.0311982239725152,-0.0237842107788244,0.0737169616917368,0.0124636970321179,0.0975011724705613,7.822813104274631,-0.0154458343553219,0.0663087660463035,-0.0548379892499484,0.1167046909881752,-0.0214881333846634,0.0725154995695876,-0.0654145329854334,0.1313457949496706,0.094003632954251,0.196760327935104,2.0931140824191528,DEFER,DEFER,2.3064403830447637,2.627504162355752,999,999,False,False
NSCLC-VA,InductiveSparsePCA,52,0.3,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0157788777880415,0.0344388513569875,-0.0479001920900585,0.0981179212350875,0.018659973568946,0.146018113325146,7.825204724199067,-0.018097388160187,0.0696899623947001,-0.0794804249261666,0.1461035862311415,-0.0240859301503013,0.0759215452666182,-0.0902362726913101,0.1624469270255325,0.1000074754169196,0.2526831997168426,2.526643120061129,DEFER,DEFER,2.306440383044761,2.6275041623557565,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0157788777880415,0.0344388513569875,-0.0479001920900584,0.0981179212350875,0.0186599735689459,0.1460181133251459,7.825204724199075,-0.018097388160187,0.0696899623947001,-0.0794804249261665,0.1461035862311415,-0.0240859301503013,0.0759215452666183,-0.0902362726913099,0.1624469270255324,0.1000074754169197,0.2526831997168424,2.526643120061125,DEFER,DEFER,2.3064403830447637,2.627504162355752,999,999,False,False
NSCLC-VA,InductiveSparsePCA,52,0.5,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0100969912129181,0.0410073799403301,-0.0955018749585832,0.1466062461118316,0.030910388727412,0.2421081210704149,7.8325809230508945,-0.0231125256836493,0.0764021887199754,-0.1320925074644605,0.2050033086856202,-0.0289832018293154,0.0826591740362705,-0.1445548371409389,0.2248926463683071,0.111642375865586,0.369447483509246,3.309204776813864,DEFER,DEFER,2.306440383044761,2.6275041623557565,999,999,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0100969912129181,0.0410073799403302,-0.0955018749585832,0.1466062461118316,0.030910388727412,0.2421081210704149,7.832580923050897,-0.0231125256836493,0.0764021887199755,-0.1320925074644604,0.2050033086856203,-0.0289832018293154,0.0826591740362706,-0.1445548371409387,0.224892646368307,0.111642375865586,0.3694474835092457,3.30920477681386,DEFER,DEFER,2.3064403830447637,2.627504162355752,999,999,False,False
