dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid,tau_days,G_tau_min,unstable_cell
NSCLC-Stanford-tau365,PET_radiomic_candidate,42,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0110508759844715,0.0110508759844715,0.0110508759844714,0.0110508759844714,0.0,0.0,inf,-0.0025382340808425,0.0246399860497855,-0.0025382340808425,0.0246399860497855,-0.0041453247503753,0.0262470767193183,-0.0071525321241726,0.0292542840931155,0.0303924014696937,0.0364068162172882,1.197892053827727,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.3379894624318295,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,42,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0087019971536804,0.0135455644262168,-0.0096286399962733,0.0318762015761706,0.0048435672725363,0.041504841572444,8.569064748575208,-0.0040066466682136,0.0280525401214822,-0.0158717577561617,0.0545878147764977,-0.0055096106452818,0.0297681804519339,-0.0179916615559891,0.0622997364437328,0.0352777910972158,0.0802913979997219,2.27597577689774,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.3379894624318295,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,42,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0064961457544201,0.0161877664110109,-0.0302104368234351,0.0528943489888663,0.0096916206565907,0.0831047858123014,8.574911127561167,-0.00537522638759,0.0316435068224229,-0.0389891195064362,0.0850065486183331,-0.0067791719964105,0.033471351036394,-0.0419699959679921,0.0959105194600653,0.0402505230328046,0.1378805154280575,3.4255583540040795,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.3379894624318295,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,42,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0044296190906779,0.0189779536334255,-0.0507420513429603,0.0741496240670638,0.0145483345427475,0.1248916754100242,8.584602934655729,-0.0066527541014732,0.0354061744489651,-0.0678999760108002,0.1157007175407972,-0.0079633902261189,0.0373490272379103,-0.0737260954433378,0.1298097451660467,0.0453124174640292,0.2035358406093845,4.491833629732049,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.3379894624318295,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,42,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0006960619045885,0.024997155325299,-0.0918325465329006,0.1175257637627881,0.0243010934207105,0.2093583102956887,8.615180669906152,-0.0089697965582967,0.0434095883839051,-0.1269707488518713,0.1777214562016953,-0.0101129112195266,0.0455871003202763,-0.1389022246753263,0.1981614161772001,0.0557000115398029,0.3370636408525265,6.051410610779899,DEFER,DEFER,2.1917554570526354,2.6254864459369096,999,999,365.0,0.3379894624318295,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,52,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0036272340815233,0.0036272340815233,0.0036272340815234,0.0036272340815234,0.0,0.0,inf,-0.0069784631897169,0.0142329313527637,-0.0069784631897168,0.0142329313527638,-0.0095068465271626,0.0167613146902094,-0.0109727635984403,0.0182272317614872,0.026268161217372,0.0291999953599276,1.111611700502914,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.1800411346259095,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,52,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.0023056888032298,0.0050077153824195,-0.0181672488790304,0.0254806530646799,0.0027020265791897,0.0436479019437104,16.153764837057835,-0.0081447076286667,0.0157930583035404,-0.0284833381921702,0.0429767403904356,-0.010636067464079,0.0183642689116676,-0.0323685669240556,0.0495660882634731,0.0290003363757466,0.0819346551875288,2.825300166381923,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.1800411346259095,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,52,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",0.001042983756877,0.0064468159197642,-0.0399358872318852,0.0474256869085266,0.0054038321628871,0.0873615741404119,16.166596501719624,-0.0092778367717789,0.0174341360759342,-0.05685267868327,0.073610192350708,-0.0117383058938029,0.0200534977732903,-0.0632238530889159,0.083471758084207,0.0317918036670933,0.1466956111731229,4.61425884197199,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.1800411346259095,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,52,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0001613286561646,0.0079437442945264,-0.0617105425632307,0.0694929582015925,0.008105072950691,0.1312035007648232,16.187824781223824,-0.0103790435657793,0.0191527537997535,-0.0871386506320041,0.1047895546317362,-0.0128149324529998,0.0218249659266391,-0.0967153432203913,0.1180829012115771,0.034639898379639,0.2147982444319685,6.200891298174953,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.1800411346259095,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,52,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0023979857203632,0.0111051865148137,-0.1053897074272348,0.1140969082216852,0.013503172235177,0.21948661564892,16.254448349339462,-0.0124888737483018,0.0228035222021985,-0.1486570002381968,0.1676706534526217,-0.0148945272850151,0.0255923890038219,-0.164952257489017,0.1878475100043408,0.040486916288837,0.3527997674933578,8.713920442259779,DEFER,DEFER,2.4272166463657614,2.698122423755625,999,999,365.0,0.1800411346259095,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,62,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0004442686875074,-0.0004442686875074,-0.0004442686875073,-0.0004442686875073,0.0,0.0,inf,-0.0129991501389036,0.0121106127638888,-0.0129991501389036,0.0121106127638888,-0.0157834900199684,0.0148949526449536,-0.0170198595901098,0.0161313222150951,0.0306784426649221,0.0331511818052049,1.0806018469480605,DEFER,DEFER,2.3946320384545405,2.587643803514975,999,999,365.0,0.2369971197898484,False
NSCLC-Stanford-tau365,PET_radiomic_candidate,62,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0017552929348304,0.0008708491122081,-0.0146598472498242,0.0137754034272019,0.0026261420470386,0.0284352506770261,10.827765660692814,-0.0144375798487325,0.0133214039749811,-0.0286918022882687,0.0293560487929076,-0.0172501748839135,0.0160826069843451,-0.033185545575323,0.0343457612262989,0.0333327818682587,0.067531306801622,2.0259727216446053,DEFER,DEFER,2.3946320384545405,2.587643803514975,999,999,365.0,0.2369971197898484,False
