dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid
NSCLC-Stanford,pet_radiomic_candidate,42,0.0,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.009809047073411178,-0.009809047073411178,-0.009809047073411181,-0.009809047073411181,0.0,0.0,inf,-0.0225565846214127,0.0029384904745903447,-0.022556584621412735,0.0029384904745903724,-0.021949009284536032,0.0023309151377136766,-0.02858129804757268,0.008963203900750318,0.02427992442224971,0.037544501948323,1.5463187321093081,DEFER,DEFER,1.8665478425056459,2.886277893244688,9,9
NSCLC-Stanford,pet_radiomic_candidate,42,0.1,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.01148698692050926,-0.008112748259961377,-0.023540618878157477,0.003940883697686803,0.0033742386605478836,0.02748150257584428,8.144504684023163,-0.024135149645465197,0.0047115988899774,-0.036331447271138725,0.017003206925004503,-0.023532310728572516,0.0041003626405835755,-0.04237662072214636,0.023176693673180367,0.02763267336915609,0.06555331439532673,2.3723117021496045,DEFER,DEFER,1.8665478425056459,2.886277893244688,9,9
NSCLC-Stanford,pet_radiomic_candidate,42,0.2,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.013139742092210128,-0.006405196937496928,-0.0371967454170857,0.01765180638737862,0.0067345451547131995,0.054848551804464324,8.144358756890707,-0.02566741558136718,0.006472106092638476,-0.050387144391120776,0.03135529141974662,-0.025070319443246857,0.005858345850934066,-0.056621162019704574,0.03783180266349128,0.030928665294180924,0.09445296468319586,3.053897211043463,DEFER,DEFER,1.8665478425056459,2.886277893244688,9,9
NSCLC-Stanford,pet_radiomic_candidate,42,0.3,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.01476087036186291,-0.004693669321929258,-0.050721522454111795,0.031266982770319696,0.010067201039933651,0.08198850522443149,8.144121181171112,-0.02714852734535845,0.008211640066059796,-0.06463359295604043,0.04588366329080535,-0.02655810469812021,0.007596544980488986,-0.0712086854100174,0.05279176699680039,0.0341546496786092,0.12400045240681778,3.6305584619852898,DEFER,DEFER,1.8665478425056459,2.886277893244688,9,9
NSCLC-Stanford,pet_radiomic_candidate,42,0.5,114,60,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0178849290669817,-0.0012879430675236427,-0.07716443616042998,0.05799156402592451,0.016596985999458056,0.13515600018635449,8.143406290200387,-0.02994087669289166,0.01159531559621072,-0.09326330751639192,0.07500665912331261,-0.029366264034360753,0.01098127149606882,-0.10087192102618237,0.08304829630183523,0.04034753553042957,0.1839202173280176,4.558400281705123,DEFER,DEFER,1.8665478425056459,2.886277893244688,9,9
NSCLC-VA,pet_radiomic_candidate,42,0.0,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0059912635786489535,-0.0059912635786489535,-0.0059912635786489865,-0.0059912635786489865,0.0,0.0,inf,-0.02382358251134485,0.011841055354046942,-0.02382358251134492,0.011841055354046948,-0.02432450486212026,0.012341977704822355,-0.025960754445852195,0.013978227288554222,0.03666648256694262,0.039938981734406416,1.0892504254120678,DEFER,DEFER,2.0150207480645568,2.1948622070434567,9,9
NSCLC-VA,pet_radiomic_candidate,42,0.1,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.007712372607624206,-0.004264523127963443,-0.018682519085992805,0.006705623350405143,0.0034478494796607627,0.025388142436397948,7.363471806459461,-0.02570125709353698,0.01336022659047074,-0.03838986522335494,0.022981045770570342,-0.026206577480555677,0.013855318176377656,-0.04075175585728514,0.024931626407329335,0.040061895656933334,0.06568338226461448,1.6395475348218314,DEFER,DEFER,2.0150207480645568,2.1948622070434567,9,9
NSCLC-VA,pet_radiomic_candidate,42,0.2,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.009420380607664489,-0.002539692623476644,-0.031316216777940886,0.019356143546799737,0.006880687984187845,0.05067236032474062,7.364432225554794,-0.027513309737474526,0.014828514809560902,-0.053103943167996645,0.03451641316697278,-0.0280215528115427,0.015316399942669437,-0.05571516370152885,0.03633334470986879,0.043337952754212136,0.09204850841139764,2.123969928469941,DEFER,DEFER,2.0150207480645568,2.1948622070434567,9,9
NSCLC-VA,pet_radiomic_candidate,42,0.3,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.011108013786979908,-0.000824259491053468,-0.04384128791393338,0.03190901463590007,0.01028375429592644,0.07575030254983345,7.366016375929884,-0.029251495439499956,0.016240934994300946,-0.06782220203776293,0.04650290446093131,-0.02976115856940097,0.016720308281101565,-0.07069627224830113,0.048251956385533284,0.046481466850502536,0.11894822863383442,2.55904636177695,DEFER,DEFER,2.0150207480645568,2.1948622070434567,9,9
NSCLC-VA,pet_radiomic_candidate,42,0.5,114,80,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.01439473880635774,0.0025494662742564077,-0.06837008036683034,0.056524807834729046,0.016944205080614148,0.12489488820155939,7.3709499859896965,-0.03247782397222811,0.01888128864393962,-0.0968008192716506,0.07174419108715041,-0.03298579052244225,0.019340060993444215,-0.10020819312437362,0.07356820729448434,0.052325851515886465,0.17377640041885795,3.321042952661713,DEFER,DEFER,2.0150207480645568,2.1948622070434567,9,9
