scenario,method,gamma,class_contains_true,reps,truth,point_coverage,point_width,ci_coverage,ci_width,retain,reference,defer,mean_regret,observed_censoring,n_target,run_kind,ci_coverage_wilson_low,ci_coverage_wilson_high,retain_wilson_low,retain_wilson_high,reference_wilson_low,reference_wilson_high,defer_wilson_low,defer_wilson_high
low_overlap,proposed_direct,0.2,True,1000,0.0464489920114544,0.179,0.0179580672031338,0.891,0.1872939700628509,0.001,0.223,0.776,0.0023744489920114,0.7041491228070176,80,comparator,0.8701675082488096,0.9088399666154864,0.000176546370626,0.0056425585979579,0.1982881302288964,0.2498318939721011,0.7491310659769607,0.8007565633390129
low_overlap,scalar_tilt,0.2,False,1000,0.0464489920114544,0.177,0.0175595977850869,0.891,0.1867482614752091,0.001,0.224,0.775,0.0023714489920114,0.7041491228070176,80,comparator,0.8701675082488096,0.9088399666154864,0.000176546370626,0.0056425585979579,0.1992434366609871,0.2508689340230394,0.7480942379750103,0.7998010448579344
low_overlap,separate_risk,0.2,True,1000,0.0464489920114544,0.553,0.0650586322031593,0.946,0.2760279409245659,0.0,0.112,0.888,0.002664,0.7041491228070176,80,comparator,0.9302078451539476,0.9583786862769372,2.1684043449710093e-19,0.0038267584855551,0.093919540908881,0.1330500236759097,0.8669499763240903,0.906080459091119
low_overlap,transport_assume,0.2,False,1000,0.0464489920114544,0.0,0.0,0.848,0.1525547287111338,0.002,0.348,0.65,0.0020428979840229,0.7041491228070176,80,comparator,0.8244190786570326,0.868917497437021,0.0005486435881207,0.0072628078634921,0.3191094001531461,0.3780539344264625,0.6199146825068091,0.6789372899475243
no_shift,proposed_direct,0.2,True,1000,0.0258751942598061,0.332,0.0134342651598908,0.98,0.0845255715634931,0.0,0.155,0.845,0.002535,0.700219298245614,80,comparator,0.9693099947702822,0.987016317083585,2.1684043449710093e-19,0.0038267584855551,0.133893624615192,0.1787468387398409,0.821253161260159,0.866106375384808
no_shift,scalar_tilt,0.2,True,1000,0.0258751942598061,0.229,0.0089472313762687,0.968,0.078067242366904,0.0,0.212,0.788,0.0023639999999999,0.700219298245614,80,comparator,0.9551752619162314,0.9772428921412892,2.1684043449710093e-19,0.0038267584855551,0.1877940523073313,0.2384101605803485,0.7615898394196515,0.8122059476926687
no_shift,separate_risk,0.2,True,1000,0.0258751942598061,0.817,0.0462140908719647,0.995,0.134242970710981,0.0,0.024,0.976,0.002928,0.700219298245614,80,comparator,0.9883490446266248,0.9978624644726756,2.1684043449710093e-19,0.0038267584855551,0.0161801684666369,0.0354629056116114,0.9645370943883884,0.9838198315333628
no_shift,transport_assume,0.2,True,1000,0.0258751942598061,0.0,0.0,0.932,0.0635724788778141,0.001,0.391,0.608,0.0018498751942598,0.700219298245614,80,comparator,0.9146861384770104,0.94600754219147,0.000176546370626,0.0056425585979579,0.3612277495046385,0.4216064838452125,0.5773836453554849,0.6377897748116351
pS_misspec,proposed_direct,0.2,True,1000,0.0194862236657388,0.326,0.0133988123558044,0.968,0.0850882176277041,0.0,0.136,0.864,0.002592,0.7127894736842105,80,comparator,0.9551752619162314,0.9772428921412892,2.1684043449710093e-19,0.0038267584855551,0.1161420645496615,0.1586438156278226,0.8413561843721774,0.8838579354503385
pS_misspec,scalar_tilt,0.2,False,1000,0.0194862236657388,0.235,0.0089480947948863,0.96,0.0786067883561233,0.0,0.181,0.819,0.002457,0.7127894736842105,80,comparator,0.945990355878742,0.9704890263145473,2.1684043449710093e-19,0.0038267584855551,0.1583719404439808,0.2060695314698033,0.7939304685301967,0.841628059556019
pS_misspec,separate_risk,0.2,True,1000,0.0194862236657388,0.824,0.0459362008775044,0.994,0.1345691914081997,0.0,0.026,0.974,0.002922,0.7127894736842105,80,comparator,0.9869718317581478,0.9972473308581236,2.1684043449710093e-19,0.0038267584855551,0.0178039382016163,0.0378238288426899,0.96217617115731,0.9821960617983836
pS_misspec,transport_assume,0.2,False,1000,0.0194862236657388,0.0,0.0,0.917,0.0642339364886407,0.001,0.338,0.661,0.0020024862236657,0.7127894736842105,80,comparator,0.8982635048659464,0.9325449785571008,0.000176546370626,0.0056425585979579,0.3093514451469222,0.3678884246023977,0.6310943749213436,0.6896734088463077
xvary_in_class,proposed_direct,0.2,True,1000,0.0214186020578164,0.328,0.013391928491415,0.982,0.0849488895246552,0.0,0.162,0.838,0.002514,0.7020087719298246,80,comparator,0.9717267448294926,0.9885842599904322,2.1684043449710093e-19,0.0038267584855551,0.1404641118483431,0.1861227768878922,0.8138772231121078,0.8595358881516569
xvary_in_class,scalar_tilt,0.2,False,1000,0.0214186020578164,0.224,0.0088959477631107,0.971,0.0783962256022051,0.0,0.213,0.787,0.002361,0.7020087719298246,80,comparator,0.9586616416633058,0.9797335518433012,2.1684043449710093e-19,0.0038267584855551,0.1887469568409867,0.2394496025297219,0.7605503974702781,0.8112530431590133
xvary_in_class,separate_risk,0.2,True,1000,0.0214186020578164,0.814,0.0460770641493411,0.998,0.13461420142107,0.0,0.02,0.98,0.00294,0.7020087719298246,80,comparator,0.992737192136508,0.9994513564118792,2.1684043449710093e-19,0.0038267584855551,0.0129836829164151,0.0306900052297177,0.9693099947702822,0.987016317083585
xvary_in_class,transport_assume,0.2,False,1000,0.0214186020578164,0.0,0.0,0.926,0.0639239323290011,0.0,0.379,0.621,0.001863,0.7020087719298246,80,comparator,0.908094594354414,0.940645007415893,2.1684043449710093e-19,0.0038267584855551,0.3494484337583002,0.4094776417952041,0.5905223582047959,0.6505515662416997
