dataset,contrast,seed,gamma,n_cal,n_target,censoring_model,L_dir,U_dir,L_sep,U_sep,W_dir,W_sep,ID_width_ratio,dir_pointwise_lower,dir_pointwise_upper,sep_pointwise_lower,sep_pointwise_upper,dir_sim_lower,dir_sim_upper,sep_sim_lower,sep_sim_upper,BandWidth_dir,BandWidth_sep,band_ratio,action_dir,action_sep,direct_sim_critical,separate_sim_critical,bootstrap_requested,bootstrap_valid
Rotterdam-GBSG,supporting_clinical_candidate,42,0.0,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0255408013304735,-0.0255408013304735,-0.0255408013304735,-0.0255408013304735,0.0,0.0,inf,-0.0383016808095513,-0.0127799218513957,-0.0383016808095514,-0.0127799218513957,-0.0395426010051944,-0.0115390016557527,-0.040621050720042,-0.0104605519409051,0.0280035993494416,0.0301604987791369,1.077022221421627,ADOPT,ADOPT,2.150558911412954,2.3161997360680564,999,999
Rotterdam-GBSG,supporting_clinical_candidate,42,0.1,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0306934783510013,-0.0202092014258496,-0.0347926724758023,-0.0161100073010486,0.0104842769251517,0.0186826651747536,1.7819698304547893,-0.0430289637052742,-0.0070469347815274,-0.0468916624615041,-0.0026874785710034,-0.044228516833589,-0.0057669820536486,-0.049090729803702,-0.0002478497577852,0.0384615347799404,0.0488428800459167,1.2699150027520678,ADOPT,ADOPT,2.150558911412954,2.3161997360680564,999,999
Rotterdam-GBSG,supporting_clinical_candidate,42,0.2,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0356545932924116,-0.0147137085592872,-0.0438460160884623,-0.0065222857632365,0.0209408847331244,0.0373237303252257,1.7823377952215609,-0.0475466561683528,-0.0011799451806848,-0.0552939541320164,0.0075506656193408,-0.0487030890783891,0.0001361334114762,-0.0573746886988551,0.0101085128305823,0.0488392224898654,0.0674832015294375,1.3817419297254565,DEFER,DEFER,2.150558911412954,2.3161997360680564,999,999
Rotterdam-GBSG,supporting_clinical_candidate,42,0.3,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.040413928919061,-0.0090716537224217,-0.052683606706623,0.0031980240651402,0.0313422751966392,0.0558816307717633,1.7829474861402348,-0.0518504846076481,0.0047980662706332,-0.0635022430228105,0.0178995019701038,-0.0529626221327954,0.0061468146602339,-0.0654685980522932,0.0205715878203324,0.0591094367930294,0.0860401858726256,1.4556082842388385,DEFER,DEFER,2.150558911412954,2.3161997360680564,999,999
Rotterdam-GBSG,supporting_clinical_candidate,42,0.5,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0492983169855002,0.0025722750128014,-0.0696541168256436,0.0229280748529449,0.0518705919983017,0.0925821916785886,1.7848686146018895,-0.059810508521408,0.0169867144364435,-0.0793203652186417,0.0387810347951127,-0.0608327570896798,0.0183884335749244,-0.0810772665126949,0.0416624097303091,0.0792211906646042,0.1227396762430041,1.5493288501891174,DEFER,DEFER,2.150558911412954,2.3161997360680564,999,999
Rotterdam-GBSG,supporting_clinical_candidate,62,0.0,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0263859057293142,-0.0263859057293142,-0.0263859057293142,-0.0263859057293142,0.0,0.0,inf,-0.0381713785354586,-0.0146004329231698,-0.0381713785354586,-0.0146004329231698,-0.0394074556197313,-0.0133643558388972,-0.0402186227164389,-0.0125531887421896,0.026043099780834,0.0276654339742493,1.062294204878376,ADOPT,ADOPT,2.165527783900444,2.3004276153405536,999,999
Rotterdam-GBSG,supporting_clinical_candidate,62,0.1,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.031529742578974,-0.0210610016566754,-0.0364372358896902,-0.0161535083459592,0.0104687409222986,0.020283727543731,1.937551773826608,-0.0429122605380435,-0.0088925736085664,-0.0475832522901723,-0.0037228193692144,-0.0441060751470926,-0.0076163316359876,-0.0495194170577921,-0.0015634952511402,0.036489743511105,0.0479559218066519,1.3142301696929513,ADOPT,ADOPT,2.165527783900444,2.3004276153405536,999,999
Rotterdam-GBSG,supporting_clinical_candidate,62,0.2,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0364798347408424,-0.0155701777013377,-0.0462841378461493,-0.0057658745960308,0.0209096570395047,0.0405182632501185,1.9377775146463267,-0.0474452962968499,-0.0030446412206245,-0.0568083451517728,0.0073038986466045,-0.0485953694395062,-0.0017309452097221,-0.0586364960049685,0.0095742375339648,0.0468644242297841,0.0682107335389334,1.4554906981143043,ADOPT,DEFER,2.165527783900444,2.3004276153405536,999,999
Rotterdam-GBSG,supporting_clinical_candidate,62,0.3,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.041225998753898,-0.0099309658815302,-0.0559057382391784,0.0047487736037502,0.0312950328723677,0.0606545118429286,1.938151402182552,-0.0517661222917648,0.0029201745396333,-0.065837320723433,0.0184398972749488,-0.0528715853805063,0.00426802035309,-0.0675625272368462,0.0208181704022118,0.0571396057335964,0.0883806976390581,1.5467502182482304,DEFER,DEFER,2.165527783900444,2.3004276153405536,999,999
Rotterdam-GBSG,supporting_clinical_candidate,62,0.5,516,686,"unpenalized Cox PH for censoring, H=Z=(q0,q1), Breslow baseline",-0.0500780369387916,0.0017115292578339,-0.074401738471985,0.0260352307910273,0.0517895661966256,0.1004369692630123,1.9393282593194685,-0.0597648444350515,0.0150985483692852,-0.0832774574131029,0.0408724060439104,-0.0607808105284648,0.0165025978989534,-0.0848192507932333,0.0434497587898106,0.0772834084274182,0.128269009583044,1.6597224707488103,DEFER,DEFER,2.165527783900444,2.3004276153405536,999,999
