result,regime,cens,n,oracle,dRT_true,gamma*_true,gamma*_true_censored,simultaneous_cov,pointwise_cov_g0.3,strict_tighter_rate,mean_width_direct,mean_width_separate,gamma*_hat_mean,gamma*_hat_rmse,gamma*_CI_cov,gamma*_hi_censored_rate,mean_regret,width_ratio_sep_over_dir,decision_rates.retain,decision_rates.reference,decision_rates.defer
ambiguous_conditional,ambiguous,conditional,1000,retain,-0.0023,0.0,0,"[0.949, 0.9336, 0.961]","[0.938, 0.9213, 0.9513]","[1.0, 0.9962, 1.0]",0.03619,0.07124,0.016,0.031,"[0.994, 0.987, 0.9972]",0.0,0.003,1.968,0.0,0.0,1.0
ambiguous_marginal,ambiguous,marginal,1000,retain,-0.0023,0.0,0,"[0.944, 0.928, 0.9566]","[0.929, 0.9114, 0.9433]","[1.0, 0.9962, 1.0]",0.03619,0.07126,0.015,0.029,"[0.994, 0.987, 0.9972]",0.0,0.003,1.969,0.0,0.0,1.0
candidate_superior_conditional,candidate_superior,conditional,1000,retain,-0.0144,0.38,0,"[0.946, 0.9302, 0.9584]","[0.937, 0.9202, 0.9505]","[1.0, 0.9962, 1.0]",0.02288,0.08567,0.387,0.051,"[0.992, 0.9843, 0.9959]",0.0,0.00194,3.744,0.355,0.0,0.645
candidate_superior_marginal,candidate_superior,marginal,1000,retain,-0.0144,0.38,0,"[0.944, 0.928, 0.9566]","[0.93, 0.9125, 0.9442]","[1.0, 0.9962, 1.0]",0.02288,0.08569,0.387,0.049,"[0.988, 0.9791, 0.9931]",0.0,0.00174,3.745,0.419,0.0,0.581
finite_crossing_conditional,finite_crossing,conditional,1000,retain,-0.1076,0.76,0,"[0.949, 0.9336, 0.961]","[0.935, 0.918, 0.9487]","[1.0, 0.9962, 1.0]",0.08624,0.12893,0.763,0.055,"[0.992, 0.9843, 0.9959]",0.0,0.0,1.495,1.0,0.0,0.0
finite_crossing_marginal,finite_crossing,marginal,1000,retain,-0.1076,0.76,0,"[0.939, 0.9224, 0.9522]","[0.934, 0.9169, 0.9478]","[1.0, 0.9962, 1.0]",0.08625,0.12896,0.763,0.052,"[0.991, 0.983, 0.9953]",0.0,0.0,1.495,1.0,0.0,0.0
no_crossing_within_range_conditional,no_crossing_within_range,conditional,1000,retain,-0.1076,0.5,1,"[0.95, 0.9347, 0.9619]","[0.935, 0.918, 0.9487]","[1.0, 0.9962, 1.0]",0.08624,0.12893,0.5,0.0,"[1.0, 0.9962, 1.0]",1.0,0.0,1.495,1.0,0.0,0.0
no_crossing_within_range_marginal,no_crossing_within_range,marginal,1000,retain,-0.1076,0.5,1,"[0.941, 0.9246, 0.954]","[0.934, 0.9169, 0.9478]","[1.0, 0.9962, 1.0]",0.08625,0.12896,0.5,0.0,"[1.0, 0.9962, 1.0]",1.0,0.0,1.495,1.0,0.0,0.0
reference_superior_conditional,reference_superior,conditional,1000,reference,0.02,0.0,0,"[0.945, 0.9291, 0.9575]","[0.938, 0.9213, 0.9513]","[1.0, 0.9962, 1.0]",0.02825,0.08976,0.0,0.0,"[1.0, 0.9962, 1.0]",0.0,0.00081,3.177,0.0,0.73,0.27
reference_superior_marginal,reference_superior,marginal,1000,reference,0.02,0.0,0,"[0.94, 0.9235, 0.9531]","[0.932, 0.9147, 0.946]","[1.0, 0.9962, 1.0]",0.02825,0.08978,0.0,0.0,"[1.0, 0.9962, 1.0]",0.0,0.00069,3.178,0.0,0.771,0.229
